郎,569
結,162
氏,84
衛,400
第,160
保,146
義,415
吉,711
士,526
藤,291
井,339
江,704
張,403
松,471
応,266
視,362
態,353
姿,441
皇,721
宮,367
離,555
基,241
隊,605
素,660
価,250
撃,473
振,614
証,306
派,164
僕,1236
佐,474
紀,780
統,125
器,525
異,631
護,351
条,363
独,365
源,738
影,464
眼,1527
企,278
津,1036
案,206
策,209
宗,997
提,254
昭,697
密,815
司,759
検,290
康,760
沢,296
秀,848
興,734
率,383
評,454
監,408
崎,533
鮮,355
激,560
徳,1091
挙,257
志,823
敷,1212
系,567
織,608
製,488
端,960
遺,647
房,808
街,891
尾,875
株,432
従,601
敵,1205
展,352
描,876
修,603
我,829
載,825
響,502
秘,862
攻,532
健,572
裁,269
隠,1089
環,409
援,312
故,612
幕,835
督,534
倉,1114
施,323
嫌,1207
継,743
障,742
貴,970
整,478
衆,450
及,544
盛,712
玄,1409
恵,925
授,535
弾,853
養,888
驚,1141
奈,841
推,507
樹,988
為,831
雄,669
刀,1794
弁,2077
妙,1122
模,668
抗,666
級,785
瞬,1265
称,985
華,1085
傷,845
闘,751
筋,744
訳,1050
射,937
善,765
黙,1338
柄,1140
刑,864
節,934
脱,782
厳,638
博,794
陣,828
奇,1367
忠,1113
染,837
微,1108
標,686
縁,1291
壁,1037
駆,1033
麻,1142
甲,1073
藩,1896
迫,773
踏,723
討,528
聖,1165
典,1055
剣,1305
症,1111
納,987
弥,1687
融,481
浜,645
郷,1077
惑,777
柳,1169
拠,858
奉,1624
壊,727
益,674
句,1244
属,912
功,857
帝,1276
賀,1056
堀,1285
創,741
泣,1380
憶,1324
幹,364
露,928
矢,1294
握,1003
儀,739
聴,781
襲,1130
徴,850
丁,1312
憲,551
閣,444
救,799
陰,1393
繰,872
那,1621
操,1016
騒,1069
己,1098
魔,1514
撮,1023
携,1017
隣,1083
宣,695
遣,664
訴,427
茂,1188
釣,1542
批,568
誘,993
核,475
哲,1093
豪,1104
締,797
鹿,957
就,624
滅,1222
仰,1573
瀬,1152
致,870
伏,1604
杉,1095
審,412
避,756
揺,1079
浦,977
至,996
裕,1048
盟,587
執,800
崩,778
鬼,1557
酸,1218
拡,611
銃,1013
維,643
縄,1075
詩,1196
廃,698
充,949
鏡,1506
仮,1039
吐,1674
請,524
眺,1726
沖,929
躍,900
威,1103
屈,1434
勘,1494
徹,968
斎,1155
謝,1028
艦,1363
催,536
舎,1170
仁,1332
衝,972
脚,1228
虎,1653
潮,1231
穴,1366
怪,1634
仙,1157
輝,1259
緊,677
唇,1992
忍,1700
狂,1425
奪,974
診,1019
竜,1195
債,728
鈴,880
僧,1724
掲,899
伯,1741
熊,1105
浪,1508
梅,1232
看,1060
俊,1007
摘,564
項,884
霊,1458
垣,1539
慢,1368
扱,1057
渉,499
如,1704
縮,909
詳,1178
旦,2500
慮,916
雅,1192
砲,1268
謀,1370
懐,1493
愚,1551
舌,1830
駄,1500
奴,1932
豆,1422
又,1874
銭,1008
抑,834
侍,1939
宙,1005
範,1088
潜,1329
酔,1640
呂,2055
還,910
丹,1402
亜,1509
亀,1353
沼,1467
巡,1262
臭,1760
慶,1300
距,1191
釈,1097
侵,1025
僚,709
悟,1411
隆,1109
裂,1041
尋,1398
旗,1190
羅,1831
揮,946
票,489
稲,1038
胞,1379
懸,889
稿,1400
塚,869
盤,881
災,976
曹,1998
尽,1234
嫁,1581
繁,1198
即,1167
帳,1459
飾,1193
沿,1121
獲,964
伴,886
唐,1727
狭,1346
添,1501
剤,1151
魅,1206
契,898
邪,1612
挑,989
免,1080
爵,2500
択,847
廊,1598
析,980
輩,1365
敏,1042
鶴,1369
虚,1454
往,1421
趣,1153
烈,1397
索,1127
匂,2213
摩,1252
菊,1287
滑,1238
沙,1897
裸,1796
孝,1030
綱,1053
邸,905
邦,654
揚,1316
卓,1348
騎,1696
墓,1337
姫,1566
孔,2052
耐,1295
須,1339
臨,722
献,637
脈,1477
芝,1052
唱,1123
亭,1627
誕,1024
貫,1156
偽,1171
奮,1521
桜,1237
熟,1415
排,1047
透,1035
棄,901
削,814
奏,1067
幻,1564
麗,1758
逮,1423
誠,1128
炎,1242
椅,2245
寛,1377
斉,1209
穂,1656
兼,1164
飼,1392
促,998
尚,1531
彩,1251
暖,1371
俗,1610
較,1172
傍,1660
肝,1118
畑,1176
峰,1836
抵,1182
恩,1418
誇,1272
網,1194
渋,1011
魂,1748
牧,1360
控,1000
紛,994
戒,1062
没,1385
既,1081
股,2212
脅,1183
征,1578
覆,1378
郡,965
丘,1405
佳,1643
叔,1950
託,1021
哀,1715
肥,1469
朗,1374
慎,999
悠,1921
眉,2177
拒,863
概,1335
顧,1058
腐,1225
挨,2258
孤,1239
拶,2500
却,959
賊,2045
荘,1489
匠,1718
悔,1460
獄,1529
滞,1107
遇,1343
淡,1436
購,945
併,966
崇,1970
唯,1292
垂,1720
岐,1428
俳,1137
斜,1504
嬢,2059
陥,1154
償,854
鑑,1391
勧,1068
葬,754
焦,973
剛,1576
膨,1293
廷,1439
紫,1516
銘,1394
鎌,1587
菌,1586
稼,1264
