軍,189
兵,522
島,245
村,253
門,452
戸,575
武,387
城,795
総,129
団,213
線,382
設,145
勢,260
党,39
史,511
営,303
府,170
巻,944
介,617
蔵,468
造,429
根,620
寺,879
査,184
将,634
改,147
県,140
泉,1086
像,856
細,537
谷,508
奥,1018
再,275
血,832
算,361
象,394
清,705
技,434
州,386
領,138
橋,553
芸,719
型,482
香,859
量,469
久,688
境,346
階,513
区,137
波,740
移,448
域,396
周,562
接,523
鉄,672
頃,2015
材,565
個,451
協,121
各,243
帯,746
歴,632
編,591
裏,812
比,329
坂,865
装,657
省,548
税,289
競,610
囲,771
辺,428
河,663
極,460
防,331
低,435
林,656
導,354
森,609
丸,542
胸,1144
陸,736
療,600
諸,658
管,517
仲,919
革,249
担,422
効,538
賞,426
星,844
復,438
片,1076
並,599
底,867
温,838
軽,790
録,546
腰,1306
著,849
乱,755
章,990
殿,1199
布,877
角,805
仏,819
永,846
誌,851
減,261
略,774
準,425
委,187
令,804
刊,855
焼,982
里,1096
圧,718
額,407
印,682
池,827
臣,1249
庫,852
農,385
板,926
恋,1296
羽,748
専,506
逆,683
腕,1163
短,689
普,757
岩,787
竹,593
児,679
毛,1179
版,802
宇,883
況,490
被,431
岸,556
超,597
豊,762
含,466
植,699
補,332
暴,692
課,455
跡,953
触,904
玉,737
震,893
億,716
肩,1215
劇,662
刺,1031
述,379
輪,693
浅,1253
純,1044
薄,1009
阪,503
韓,445
固,750
巨,892
講,653
般,649
湯,1356
捨,1266
衣,1214
替,979
央,582
骨,936
齢,770
照,1004
層,801
弱,958
築,821
脳,459
航,665
快,1074
翌,1070
旧,549
筆,1132
換,687
群,1012
爆,735
捜,592
油,690
叫,1426
伸,730
承,775
雲,1256
練,788
紹,963
包,954
庁,793
測,761
占,694
混,824
倍,714
乳,1289
荒,1099
詰,1020
栄,920
床,1175
則,753
禁,681
順,779
枚,911
厚,768
皮,1092
輸,371
濃,1200
簡,983
孫,1388
丈,1375
黄,1240
届,939
絡,806
採,607
傾,938
鼻,1632
宝,1139
患,796
延,747
律,992
希,896
甘,1248
湾,545
沈,1271
販,627
欧,421
砂,1146
尊,1181
紅,1299
複,915
泊,1233
荷,1230
枝,1401
依,906
幼,1227
斬,2132
勇,1319
昇,826
寿,1245
菜,1327
季,842
液,1210
券,583
祭,1124
袋,1125
燃,948
毒,1419
札,921
狙,745
脇,1806
卒,772
副,360
敬,1078
針,505
拝,1443
浴,1136
悩,1084
汚,908
灯,1605
坊,1832
尻,1692
涙,1381
停,733
了,792
汗,1502
郵,917
幅,641
童,1138
虫,1351
埋,1110
舟,1786
闇,1969
棒,1455
貨,822
肌,1559
臓,991
塩,1148
均,715
湖,1344
損,807
膝,2320
辛,1607
双,1029
軒,1416
績,820
干,1349
姓,1628
掘,1257
籍,907
珍,1330
訓,1134
預,981
署,725
漁,1094
緑,1180
畳,1665
咲,1534
貿,652
踊,1308
封,1143
兆,1174
柱,1119
駐,955
祝,1184
炭,1307
柔,1187
雇,975
乾,1453
鋭,1395
氷,1450
隅,1601
冊,1313
糸,1488
募,809
硬,1101
塗,1414
憎,1808
泥,1589
脂,1548
粉,1484
詞,1636
筒,1631
掃,1255
塔,1708
賢,1159
拾,1479
麦,1615
刷,1352
卵,1342
械,1321
皿,1812
祈,1462
灰,1717
召,1540
溶,1364
磨,1608
粒,1635
喫,1347
机,1671
貯,1100
匹,1384
綿,1495
贈,1001
凍,1284
瓶,1528
帽,1742
涼,1783
秒,1015
湿,1517
蒸,1552
菓,1719
耕,1568
鉱,1376
膚,1679
胃,1647
挟,1870
郊,1304
銅,1505
鈍,1574
貝,1787
缶,1543
枯,1749
滴,2019
符,1798
畜,1824
軟,1269
濯,1698
隻,1546
伺,2209
沸,1709
曇,1899
肯,1813
燥,1819
零,1217
