会う,あう
青,あお
青い,あおい
赤,あか
赤い,あかい
明い,あかるい
秋,とき,あき
開く,ひらく,ヒラく,あく
開ける,あける,ひらける,はだける
上げる,あげる,アゲる
朝,あさ,ちょう,あした
朝御飯,あさごはん
足,あし,そく
明日,あした,あす,みょうにち
遊ぶ,あそぶ,あすぶ,すさぶ
暖かい,あたたかい,あったかい,あったけー
頭,とう,あたま,かしら,がしら,どたま,ドタマ,かぶし,こうべ,ず,かぶり,つむり,つむ
新しい,あたらしい
暑い,あつい,あづい,あぢぃ,あぢー,あぢい,あっつい
熱い,あつい,あっつい
厚い,あつい
後,あと,のち,うしろ,しり,ご,しりえ
兄,あに,けい,にい,このかみ
姉,あね,し,ねえ
危ない,あぶない,アブナい,あぶねー,あっぶねー
甘い,あまい,うまい
雨,あめ
飴,あめ,たがね
洗う,あらう
歩く,あるく
言う,いう,ゆう
家,いえ,うち,け,や,か,んち,ち
行く,いく,ゆく,イク
池,いけ
医者,いしゃ
忙しい,いそがしい,せわしい
痛い,いたい,イタイ,イタい
一,いち,ひとつ,イー,いっち,ひと,ひ,ひい,いつ
一日,いちにち,いちじつ,つきたち,ついたち,ひとひ,いっぴ
五日,いつか,ごにち
一緒,いっしょ
五つ,いつつ
犬,いぬ,イヌ
今,いま,こん
意味,いみ
妹,いもうと,いも
嫌,いや,や,イヤ
入口,いりぐち,いりくち,はいりぐち,はいりくち
居る,いる,おる
要る,いる
入れる,いれる
色,いろ,しょく,しき
上,うえ,うわ,かみ,じょう
後ろ,うしろ
薄い,うすい
歌,うた
歌う,うたう
生まれる,うまれる
海,うみ,み,わた,わだ
売る,うる
煩い,うるさい,ウルサイ,わずらい
上着,うわぎ,じょうい
絵,え,が
映画,えいが
映画館,えいがかん
英語,えいご
駅,えき
鉛筆,えんぴつ,エンピツ
多い,おおい
大きい,おおきい
大きな,おおきな
大勢,おおぜい,たいぜい,たいせい
お母さん,おかあさん,おかーさん
お菓子,おかし
お金,おかね
起きる,おきる
置く,おく
奥さん,おくさん
お酒,おさけ
お皿,おさら
伯父,おじ,はくふ,しゅくふ,えおじ
叔父,おじ,はくふ,しゅくふ,おとおじ
教える,おしえる
押す,おす
遅い,おそい,おっそい,おそーい,おっそーい,おせー,おっせー
お茶,おちゃ
お手洗い,おてあらい
お父さん,おとうさん,おとっさん
弟,おとうと,てい,おとと,おと
男,おとこ,おっこ,おのこ,お,なん,だん
男の子,おとこのこ,おのこ
一昨日,おととい,おとつい,いっさくじつ
一昨年,おととし,いっさくねん
大人,おとな,たいじん,だいにん,うし,おおびと
同じ,おなじ,おんなじ,おんなし
お兄さん,おにいさん
お姉さん,おねえさん
伯母さん,おばさん
叔母さん,おばさん
お風呂,おふろ
お弁当,おべんとう
覚える,おぼえる
重い,おもい
泳ぐ,およぐ
降りる,おりる
終る,おわる
音楽,おんがく
女,おんな,じょ,め,おみな
女の子,おんなのこ,めのこ
外国,がいこく,そとぐに
外国人,がいこくじん
会社,かいしゃ
階段,かいだん
買い物,かいもの,かいもん
買う,かう
返す,かえす
帰る,かえる
書く,かく
学生,がくせい,がくしょう,がくそう
傘,かさ,からかさ
貸す,かす
風,ふり,フリ,かぜ,ふう
風邪,かぜ,ふうじゃ
家族,かぞく
方,かた,ほう,さま,がた,へ
学校,がっこう
家庭,かてい
角,かく,かど,つの,ツノ,すみ,すま
花瓶,かびん,はながめ,かへい,けびょう
紙,かみ,し
火曜日,かようび
辛い,からい,つらい,ツライ,ツラい,づらい,ずらい
体,からだ,たい,てい
借りる,かりる
軽い,かるい,かろい
川,かわ,がわ
河,かわ,がわ,ホー
漢字,かんじ
木,き,もく
黄色,きいろ,こうしょく,おうしょく
黄色い,きいろい
消える,きえる
聞く,きく
北,きた,ペー
汚い,きたない
喫茶店,きっさてん,きっちゃてん
切手,きって,きれて
切符,きっぷ
昨日,きのう,さくじつ
九,きゅう,く,ここの,この,ここ,チュー
牛肉,ぎゅうにく
牛乳,ぎゅうにゅう
今日,きょう,こんにち,こんち,こんじつ
教室,きょうしつ
兄弟,きょうだい,けいてい
去年,きょねん,こぞ
嫌い,きらい,ぎらい
切る,きる,キる
着る,きる
銀行,ぎんこう
金曜日,きんようび
薬,くすり,クスリ,やく,ヤク
果物,くだもの,かぶつ
口,くち,く,こう
靴,くつ
靴下,くつした
国,くに
曇り,くもり
曇る,くもる
暗い,くらい
来る,くる,クる,きたる
車,くるま,クルマ,しゃ
黒,くろ
黒い,くろい
警官,けいかん
今朝,けさ,こんちょう
消す,けす
結構,けっこう
結婚,けっこん
月曜日,げつようび
玄関,げんかん
元気,げんき
五,ご,いつ,い,ウー
公園,こうえん
交差点,こうさてん
紅茶,こうちゃ
交番,こうばん
声,こえ,しょう
午後,ごご
九日,ここのか,ここぬか
九つ,ここのつ
午前,ごぜん
答える,こたえる
今年,ことし,こんねん
言葉,ことば,けとば
子供,こども
御飯,ごはん,おんいい,おまんま
困る,こまる
今月,こんげつ
今週,こんしゅう
今晩,こんばん
財布,さいふ
魚,さかな,うお
先,さっき,さき,せん
咲く,さく
作文,さくぶん,さくもん
差す,さす
雑誌,ざっし
砂糖,さとう
寒い,さむい,さぶい
さ来年,さらいねん
三,さん,み,サン
散歩,さんぽ
四,し,よん,よ,スー
塩,しお,えん
時間,じかん
仕事,しごと
辞書,じしょ
静か,しずか
下,した,もと,げ,しも,か,さがる
七,しち,なな,なあ,ひち,な,チー
質問,しつもん
自転車,じてんしゃ,じでんしゃ
自動車,じどうしゃ
死ぬ,しぬ,ﾀﾋぬ
字引,じびき
自分,じぶん
閉まる,しまる
閉める,しめる
締める,しめる,シメる
写真,しゃしん
十,じゅう,とお,と,シー
授業,じゅぎょう
宿題,しゅくだい
上手,じょうず,じょうて,じょうしゅ,うわて,かみて
丈夫,じょうぶ,じょうふ,ますらお
食堂,しょくどう,じきどう
知る,しる
白,しろ,しら,はく
白い,しろい
新聞,しんぶん
水曜日,すいようび
吸う,すう
好き,すき,ずき
少ない,すくない
少し,すこし
涼しい,すずしい
住む,すむ
座る,すわる
背,せい,せ,そびら
生徒,せいと
背広,せびろ,セビロ
狭い,せまい
千,せん,ち
先月,せんげつ
先週,せんしゅう
先生,せんせい,シーサン,せんじょう,せんしょう,ぜんじょう
洗濯,せんたく,せんだく
全部,ぜんぶ
掃除,そうじ
外,そと,と,ほか,よそ,がい
空,から,カラ,そら,うろ,うつお,うつほ,うつせ,くう
大学,だいがく
大使館,たいしかん
大丈夫,だいじょうぶ,だいじょぶ,だいじょうふ
