記憶,きおく
気温,きおん
機械,きかい
議会,ぎかい
期間,きかん
機関,からくり,カラクリ,きかん
企業,きぎょう
効く,きく
機嫌,きげん
気候,きこう
岸,きし
生地,きじ,せいち,しょうち
記事,きじ
技師,ぎし
記者,きしゃ
傷,きず,キズ
期待,きたい
帰宅,きたく
貴重,きちょう
議長,ぎちょう
気付く,きづく,きずく
気に入る,きにいる
記入,きにゅう
記念,きねん
機能,きのう
気の毒,きのどく
寄付,きふ
希望,きぼう
基本,きほん
決まり,きまり
気味,きみ,きび,ぎみ,きあじ
奇妙,きみょう
義務,ぎむ
疑問,ぎもん
逆,ぎゃく,さか
九,きゅう,く,ここの,この,ここ,チュー
旧,きゅう,ふる,もと
級,きゅう
球,まり,きゅう,たま
休暇,きゅうか
休憩,きゅうけい
急激,きゅうげき
吸収,きゅうしゅう
救助,きゅうじょ
急速,きゅうそく
急に,きゅうに
給料,きゅうりょう
器用,きよう
教科書,きょうかしょ
競技,きょうぎ
行儀,ぎょうぎ
供給,きょうきゅう
教師,きょうし
教授,きょうじゅ
強調,きょうちょう
共通,きょうつう
共同,きょうどう
恐怖,きょうふ,くふ
協力,きょうりょく
強力,きょうりょく,ごうりき
許可,きょか
局,きょく,つぼね
巨大,きょだい
嫌う,きらう
霧,きり
切れ,きれ,ぎれ
切れる,きれる
記録,きろく
議論,ぎろん
銀,ぎん,しろがね,しろかね
禁煙,きんえん
金額,きんがく
金庫,きんこ,かねぐら,きんぞう
禁止,きんし
金銭,きんせん
金属,きんぞく
近代,きんだい
緊張,きんちょう
筋肉,きんにく,すじにく
金融,きんゆう
金曜,きんよう
句,く
食う,くう
偶然,ぐうぜん
臭い,くさい,くせー,くっせー,におい
鎖,くさり,じょう
腐る,くさる
癖,くせ,へき,クセ
管,かん,くだ
具体,ぐたい
下さる,くださる
下り,くだり,くんだり
苦痛,くつう
区別,くべつ
組,くみ
組合,くみあい
組む,くむ
曇,くもり
位,くらい,い
暮らし,くらし,ぐらし
暮らす,くらす
繰り返す,くりかえす
狂う,くるう
苦しい,くるしい
苦しむ,くるしむ
暮れ,くれ
苦労,くろう
加える,くわえる
詳しい,くわしい
加わる,くわわる
訓,くん,くに
軍,ぐん,いくさ
軍隊,ぐんたい
訓練,くんれん
下,した,もと,げ,しも,か,さがる
計,けい,はか
敬意,けいい
経営,けいえい
計画,けいかく
景気,けいき
経験,けいけん
傾向,けいこう
警告,けいこく
計算,けいさん
掲示,けいじ
刑事,でか,デカ,けいじ
芸術,げいじゅつ
契約,けいやく
経由,けいゆ,けいゆう
怪我,けが,ケガ
劇,げき
劇場,げきじょう
化粧,けしょう,けわい,けそう
結果,けっか
欠陥,けっかん
結局,けっきょく
決心,けっしん
欠席,けっせき
決定,けってい
欠点,けってん
月曜,げつよう
結論,けつろん
煙,けむり,けむ,けぶ,けぶり
券,けん
県,けん,あがた
軒,のき,けん
喧嘩,けんか,ケンカ
見解,けんかい
限界,げんかい
