地理,ちり
捕まえる,つかまえる
付く,つく,づく
漬ける,つける
都合,つごう
伝える,つたえる
続く,つづく
続ける,つづける
包む,つつむ,くるむ
妻,つま,め,さい,そばめ
釣る,つる
連れる,つれる
丁寧,ていねい
適当,てきとう,テキトー
手伝う,てつだう
手袋,てぶくろ
寺,てら,じ
点,ちょぼ,チョボ,てん
店員,てんいん,ていいん
天気予報,てんきよほう
電灯,でんとう
電報,でんぽう
展覧会,てんらんかい
都,みやこ,と
道具,どうぐ
動物園,どうぶつえん
遠く,とおく
通る,とおる
特に,とくに
特別,とくべつ
途中,とちゅう
特急,とっきゅう
届ける,とどける
泊まる,とまる
止める,とめる,やめる,とどめる
取り替える,とりかえる
泥棒,どろぼう,ドロボー,どろぼー
直す,なおす
直る,なおる
治る,なおる
中々,なかなか
泣く,なく
無くなる,なくなる
亡くなる,なくなる
投げる,なげる
鳴る,なる
慣れる,なれる
苦い,にがい
二階建て,にかいだて
逃げる,にげる
日記,にっき
入院,にゅういん
入学,にゅうがく
似る,にる
人形,にんぎょう,ひとがた
盗む,ぬすむ
塗る,ぬる,まぶる
熱,ねつ,ねち
寝坊,ねぼう
眠い,ねむい
眠る,ねむる,ねぶる
残る,のこる
乗り換える,のりかえる
乗り物,のりもの
葉,は,よう
場合,ばあい,ばやい,ばわい,バヤイ,バワイ
倍,ばい
拝見,はいけん
歯医者,はいしゃ
運ぶ,はこぶ
始める,はじめる
場所,ばしょ
恥ずかしい,はずかしい
発音,はつおん
花見,はなみ
林,はやし
払う,はらう
番組,ばんぐみ
反対,はんたい
日,ひ,にち,か,んち,ち
火,ひ,か
冷える,ひえる
光,ひかり
光る,ひかる
引き出し,ひきだし
引き出す,ひきだす
飛行場,ひこうじょう
久しぶり,ひさしぶり
美術館,びじゅつかん
非常に,ひじょうに
引っ越す,ひっこす
必要,ひつよう
開く,ひらく,ヒラく,あく
昼間,ひるま,ちゅうかん
昼休み,ひるやすみ
拾う,ひろう
増える,ふえる
深い,ふかい
複雑,ふくざつ
復習,ふくしゅう
部長,ぶちょう
普通,ふつう,フツー
太る,ふとる
布団,ふとん
舟,ふね
不便,ふべん,ふびん
踏む,ふむ
降り出す,ふりだす
文化,ぶんか
文学,ぶんがく
文法,ぶんぽう
別,べつ,べち,わけ
変,へん
返事,へんじ
貿易,ぼうえき
放送,ほうそう
法律,ほうりつ
僕,しもべ,ぼく,ボク,やつがれ,やつこ,つぶね,やつこらま
星,ほし,ホシ,せい
翻訳,ほんやく
参る,まいる
負ける,まける
間違える,まちがえる
間に合う,まにあう
周り,まわり
回る,めぐる,まわる,もとおる,みる
漫画,まんが,マンガ
真中,まなか
見える,みえる,まみえる
湖,みずうみ,こ
味噌,みそ,ミソ
見つかる,みつかる
見つける,みつける
皆,みな,みんな
港,みなと,こう
向かう,むかう
迎える,むかえる
昔,むかし,むかーし
虫,むし
息子,むすこ,ムスコ
娘,じょう,むすめ,こ
無理,むり,ムリ
召し上がる,めしあがる
珍しい,めずらしい
申し上げる,もうしあげる
申す,もうす
戻る,もどる,もとる
木綿,もめん,きわた,ゆう
森,もり
焼く,やく
約束,やくそく
役に立つ,やくにたつ
焼ける,やける
優しい,やさしい
痩せる,やせる
止む,やむ
柔らかい,やわらかい
湯,ゆ,タン
輸出,ゆしゅつ,しゅしゅつ
輸入,ゆにゅう,しゅにゅう
指,ゆび,および,おゆび,さし,サシ
指輪,ゆびわ
夢,ゆめ
揺れる,ゆれる
用,よう
用意,ようい
用事,ようじ
汚れる,けがれる,よごれる
予習,よしゅう
予定,よてい
予約,よやく
寄る,よる
喜ぶ,よろこぶ
理由,りゆう,わけ
利用,りよう
両方,りょうほう
旅館,りょかん
留守,るす
冷房,れいぼう
歴史,れきし
連絡,れんらく
沸かす,わかす
別れる,わかれる
沸く,わく
訳,わけ,ワケ,やく
忘れ物,わすれもの,わすれもん
笑う,わらう
割合,わりあい
割れる,われる
泳ぎ方,およぎかた
